ID;Name;Frequency
1089;Лейла;7
1090;Луиза;7
1091;Марианна;7
1092;Мия;7
1093;Нелли;7
1094;Самира;7
1095;Айлин;6
1096;Алсу;6
1097;Алеся;6
1098;Жасмин;6
1099;Лиана;6
1100;Мила;6
6;Полина;176
7;Алиса;175
8;София;172
9;Елизавета;165
10;Дарья;156
11;Александра;147
12;Ксения;146
13;Екатерина;118
14;Арина;112
15;Софья;103
16;Милана;101
17;Вероника;98
18;Валерия;97
19;Василиса;97
20;Ева;90
21;Ульяна;68
22;Кира;63
23;Татьяна;56
24;Маргарита;55
25;Таисия;55
26;Алёна;52
27;Кристина;48
28;Алина;48
29;Ольга;46
30;Вера;45
31;Евгения;42
32;Юлия;41
33;Ангелина;38
34;Ирина;36
35;Мирослава;35
36;Амина;34
37;Злата;32
38;Диана;31
39;Элина;28
40;Эмилия;27
41;Майя;23
42;Марьям;22
43;Яна;21
44;Елена;19
45;Милена;19
46;Надежда;18
47;Ника;17
48;Сафия;16
49;Дарина;16
50;Ясмина;15
51;Антонина;15
52;Марина;14
53;Николь;14
54;Агата;14
55;Карина;13
56;Камилла;13
57;Стефания;13
58;Есения;13
59;Нина;13
60;Наталья;12
61;Олеся;12
62;Ариана;11
63;Светлана;11
64;Мадина;11
65;Евангелина;11
66;Аделина;11
67;Мелания;11
68;Камила;10
69;Анжелика;10
70;Малика;9
71;Амелия;9
72;Фатима;9
73;Серафима;9
74;Каролина;9
75;Снежана;8
76;Ярослава;8
77;Аиша;8
78;Адель;8
79;Лидия;8
80;Владислава;8
81;Зоя;8
82;Марьяна;8
83;Валентина;8
84;Лилия;8
85;Станислава;8
86;Эвелина;8
87;Любовь;7
88;Амалия;7
89;Даниэла;7
90;Людмила;7
91;Алеся;7
92;Тамара;7
93;Ясмин;7
94;Мила;7
95;Анфиса;7
96;Агния;7
97;Альбина;7
98;Мелисса;6
99;Алисия;6
100;Алия;6
101;Мария;286
102;Анастасия;215
103;Анна;202
104;Ксения;201
105;Виктория;173
106;София;170
107;Елизавета;169
108;Алиса;168
109;Дарья;161
110;Полина;161
111;Александра;135
112;Варвара;130
113;Екатерина;129
114;Арина;115
115;Василиса;110
116;Вероника;97
117;Валерия;93
118;Милана;90
119;Софья;86
120;Ева;82
121;Татьяна;64
122;Кира;60
123;Ульяна;58
124;Алина;54
125;Алёна;52
126;Маргарита;50
127;Таисия;49
128;Ольга;48
129;Вера;47
130;Кристина;45
131;Диана;40
132;Яна;34
133;Мирослава;31
134;Амина;30
135;Ангелина;28
136;Ирина;26
137;Юлия;26
138;Евгения;26
139;Эмилия;23
140;Светлана;21
141;Агния;21
142;Агата;20
143;Елена;20
144;Злата;19
145;Надежда;18
146;Ярослава;17
147;Ника;17
148;Марина;16
149;Сафия;16
150;Нина;16
151;Элина;15
152;Дарина;15
153;Аделина;14
154;Есения;14
155;Мадина;14
156;Наталья;13
157;Ариана;13
158;Николь;13
159;Марьям;13
160;Олеся;12
161;Малика;11
162;Карина;11
163;Милена;11
164;Майя;11
165;Марта;10
166;Айлин;10
167;Марианна;10
168;Фатима;10
169;Амелия;10
170;Лилия;10
171;Ясмина;9
172;Стефания;9
173;Владислава;9
174;Лейла;9
175;Каролина;8
176;Моника;8
177;Виталина;8
178;Сабина;8
179;Лада;8
180;Марьяна;8
181;Влада;8
182;Оливия;8
183;Сумая;7
184;Амира;7
185;Анжелика;7
186;Лидия;7
187;Камилла;7
188;Тамара;7
189;Серафима;7
190;Евангелина;7
191;Алла;6
192;Мила;6
193;Наталия;6
194;Алия;6
195;Аиша;6
196;Нелли;6
197;Антонина;6
198;Станислава;6
199;Сумайя;6
200;Зоя;6
201;Мария;243
202;Анна;230
203;Анастасия;216
204;Виктория;211
205;София;194
206;Алиса;189
207;Дарья;177
208;Полина;173
209;Елизавета;167
210;Екатерина;160
211;Александра;141
212;Ксения;139
213;Варвара;139
214;Василиса;119
215;Вероника;117
216;Арина;109
217;Валерия;98
218;Милана;97
219;Софья;91
220;Кира;90
221;Ева;88
222;Алёна;69
223;Ульяна;68
224;Вера;59
225;Ольга;55
226;Маргарита;55
227;Алина;55
228;Диана;47
229;Кристина;44
230;Таисия;43
231;Юлия;42
232;Яна;38
233;Ирина;36
234;Амина;33
235;Мирослава;32
236;Марина;30
237;Ангелина;30
