ID;Name;Frequency
382;Клим;9
383;Федор;9
384;Серафим;9
385;Али;8
386;Эмин;8
387;Яков;7
388;Расул;7
389;Гордей;7
390;Марат;7
391;Камиль;7
392;Ислам;7
393;Сулейман;6
394;Тамерлан;6
395;Демьян;6
396;Арслан;6
397;Прохор;6
398;Арсен;6
399;Микаэль;6
400;Игнат;5
401;Александр;318
402;Максим;243
403;Михаил;225
404;Иван;216
405;Артём;216
406;Дмитрий;187
407;Даниил;159
408;Кирилл;156
409;Андрей;142
410;Егор;130
411;Никита;129
412;Илья;123
413;Тимофей;115
414;Алексей;114
415;Роман;107
416;Владимир;103
417;Марк;95
418;Матвей;93
419;Ярослав;92
420;Георгий;91
421;Лев;79
422;Глеб;77
423;Константин;73
424;Николай;71
425;Фёдор;67
426;Сергей;64
427;Степан;63
428;Владислав;60
429;Арсений;58
430;Тимур;56
431;Григорий;46
432;Павел;46
433;Денис;46
434;Семён;46
435;Виктор;45
436;Руслан;42
437;Давид;40
438;Юрий;40
439;Макар;38
440;Платон;35
441;Пётр;34
442;Вячеслав;32
443;Леонид;32
444;Артемий;31
445;Антон;31
446;Игорь;30
447;Данила;29
448;Вадим;29
449;Богдан;27
450;Евгений;26
451;Олег;26
452;Святослав;26
453;Мирон;24
454;Елисей;22
455;Всеволод;21
456;Василий;19
457;Роберт;18
458;Савелий;18
459;Артур;18
460;Филипп;17
461;Захар;17
462;Даниэль;17
463;Умар;17
464;Али;17
465;Савва;17
466;Адам;17
467;Тихон;17
468;Артем;16
469;Амир;16
470;Родион;16
471;Герман;15
472;Мухаммад;15
473;Станислав;15
474;Борис;14
475;Демид;13
476;Серафим;13
477;Марат;12
478;Яков;11
479;Мирослав;11
480;Ибрагим;11
481;Лука;10
482;Дамир;10
483;Данил;10
484;Валерий;10
485;Гордей;9
486;Виталий;9
487;Эмир;9
488;Ислам;9
489;Юсуф;9
490;Эмиль;8
491;Мартин;7
492;Магомед;7
493;Данис;7
494;Ильяс;7
495;Камиль;7
496;Эмин;7
497;Ян;7
498;Яромир;7
499;Анатолий;7
500;Леон;7
501;Александр;281
502;Артём;262
503;Максим;262
504;Иван;262
505;Михаил;238
506;Дмитрий;216
507;Даниил;208
508;Кирилл;156
509;Никита;153
510;Егор;145
511;Тимофей;142
512;Андрей;137
513;Алексей;136
514;Матвей;130
515;Роман;116
516;Илья;114
517;Ярослав;112
518;Владимир;105
519;Марк;99
520;Степан;89
521;Константин;88
522;Фёдор;80
523;Лев;78
524;Сергей;76
525;Глеб;74
526;Владислав;68
527;Денис;66
528;Николай;65
529;Георгий;64
530;Арсений;62
531;Павел;61
532;Тимур;58
533;Данила;56
534;Макар;52
535;Руслан;50
536;Давид;46
537;Семён;46
538;Евгений;43
539;Григорий;43
540;Игорь;43
541;Артемий;41
542;Елисей;40
543;Вячеслав;37
544;Мирон;37
545;Платон;35
546;Пётр;33
547;Леонид;33
548;Олег;32
549;Амир;31
550;Святослав;30
551;Юрий;29
552;Всеволод;29
553;Антон;29
554;Виктор;29
555;Захар;28
556;Артур;28
557;Умар;25
558;Богдан;24
559;Савелий;23
560;Али;23
561;Демид;23
562;Вадим;22
563;Василий;21
564;Артем;20
565;Адам;20
566;Филипп;20
567;Гордей;19
568;Дамир;19
569;Станислав;18
570;Мухаммад;18
571;Борис;17
572;Герман;17
573;Лука;17
574;Мирослав;16
575;Роберт;16
576;Данил;16
577;Тихон;15
578;Даниэль;14
579;Савва;13
580;Виталий;12
581;Альберт;12
582;Валерий;12
583;Ян;11
584;Ибрагим;11
585;Серафим;11
586;Федор;10
587;Демьян;10
588;Яков;10
589;Анатолий;10
590;Петр;9
591;Эрик;9
592;Шамиль;9
593;Саид;8
594;Ислам;8
595;Родион;8
596;Эмир;8
597;Игнат;8
598;Ростислав;8
599;Самир;8
600;Арсен;8
601;Александр;303
602;Максим;298
603;Михаил;256
604;Иван;255
605;Артём;244
606;Дмитрий;216
607;Тимофей;176
608;Даниил;174
609;Кирилл;171
610;Андрей;169
611;Илья;146
612;Никита;143
613;Егор;141
614;Матвей;128
615;Алексей;118
616;Роман;112
617;Владимир;112
618;Ярослав;110
619;Марк;107
620;Глеб;100
621;Фёдор;100
622;Сергей;100
623;Владислав;82
624;Георгий;81
625;Павел;79
626;Степан;77
627;Николай;74
628;Константин;73
629;Лев;68
630;Тимур;66
631;Арсений;56
632;Макар;54
633;Давид;53
634;Семён;52
635;Григорий;51
636;Виктор;49
637;Денис;48
638;Пётр;47
639;Игорь;45
640;Артемий;44
641;Мирон;43
642;Данила;42
643;Евгений;41
644;Руслан;38
645;Платон;37
646;Антон;36
647;Вячеслав;36
648;Леонид;36
649;Амир;36
650;Олег;31
651;Захар;30
652;Юрий;30
653;Елисей;30
654;Рамазан;30
655;Тихон;26
656;Вадим;26
657;Дамир;26
658;Василий;25
659;Всеволод;25
660;Богдан;24
661;Герман;24
662;Савелий;24
663;Филипп;23
664;Артур;23
665;Станислав;21
666;Савва;21
667;Адам;19
668;Даниэль;19
669;Умар;18
670;Артем;18
671;Мирослав;17
672;Святослав;17
673;Али;16
674;Лука;15
675;Роберт;15
676;Серафим;15
677;Мухаммад;15
678;Демид;15
679;Гордей;15
680;Рамзан;14
681;Эмиль;14
682;Борис;13
683;Эмин;10
684;Ян;10
685;Демьян;10
686;Родион;10
687;Ибрагим;10
688;Яков;9
689;Алан;9
690;Петр;9
691;Марсель;8
692;Тамерлан;8
693;Мухаммед;8
694;Камиль;8
695;Данил;8
696;Алихан;7
697;Ростислав;7
698;Самир;7
699;Леон;7
700;Анатолий;7
701;Александр;285
702;Максим;274
703;Иван;246
704;Артём;239
705;Михаил;231
706;Дмитрий;204
707;Илья;202
708;Даниил;192
709;Андрей;153
710;Кирилл;143
711;Лев;136
712;Матвей;135
713;Алексей;131
714;Егор;128
715;Владимир;118
716;Марк;113
717;Фёдор;111
718;Ярослав;111
719;Роман;103
720;Никита;94
721;Сергей;89
722;Константин;87
723;Степан;85
724;Тимофей;76
725;Глеб;72
726;Владислав;68
727;Георгий;67
728;Павел;65
729;Тимур;64
730;Макар;60
731;Николай;59
732;Давид;54
733;Арсений;51
734;Денис;51
735;Платон;50
1101;Александр;299
1102;Артём;251
1103;Михаил;249
1104;Максим;248
1105;Иван;209
1106;Даниил;192
1107;Дмитрий;181
1108;Андрей;164
1109;Егор;144
1110;Кирилл;142
1111;Алексей;124
1112;Матвей;124
1113;Илья;122
1114;Никита;122
1115;Тимофей;118
1116;Владимир;113
1117;Роман;112
1118;Марк;107
1119;Ярослав;106
1120;Степан;94
1121;Николай;89
1122;Лев;83
1123;Сергей;80
1124;Константин;79
1125;Фёдор;72
1126;Тимур;69
1127;Владислав;67
1128;Григорий;64
1129;Глеб;60
1130;Павел;59
1131;Георгий;56
1132;Арсений;54
1133;Платон;51
1134;Макар;50
1135;Давид;48
1136;Артемий;43
1137;Денис;43
1138;Евгений;43
1139;Мирон;43
1140;Богдан;42
1141;Игорь;39
1142;Семён;39
1143;Данила;38
1144;Руслан;34
1145;Амир;32
1146;Всеволод;32
1147;Олег;32
1148;Даниэль;29
1149;Леонид;29
1150;Василий;27
1151;Пётр;27
1152;Савелий;27
1153;Юрий;27
1154;Виктор;26
1155;Захар;26
1156;Борис;24
1157;Демид;24
1158;Антон;23
1159;Вячеслав;23
1160;Дамир;23
1161;Роберт;23
1162;Святослав;23
1163;Елисей;22
1164;Лука;22
1165;Вадим;21
